modelo,familia,modo,MAE,RMSE,MAPE%,y_true,y_pred,scope,programa,y_true_total,y_pred_total,fold,n_train
ARIMA,Estatístico,GLOBAL,,,,21675.0,,GLOBAL,TODOS,,,2023,2
ETS,Estatístico,GLOBAL,3075.0,3075.0,14.19,21675.0,18600.000000063566,GLOBAL,TODOS,,,2023,2
LinearRegression,ML Clássico,GLOBAL,2064.01,2537.45,43.65,,,GLOBAL,TODOS,21675.0,15483.0,2023,2
DecisionTree,ML Clássico,GLOBAL,2279.34,2634.18,29.57,,,GLOBAL,TODOS,21675.0,24994.0,2023,2
RandomForest,ML Moderno,GLOBAL,2224.99,3184.72,22.82,,,GLOBAL,TODOS,21675.0,25746.0,2023,2
LightGBM,ML Moderno,GLOBAL,3238.88,3887.56,39.94,,,GLOBAL,TODOS,21675.0,24119.0,2023,2
ARIMA,Estatístico,POR_SETOR,,,,4072.0,,POR_SETOR,FRUTICULTURA IRRIGADA,,,2023,2
ETS,Estatístico,POR_SETOR,1068.0,1068.0,26.23,4072.0,3003.999999963693,POR_SETOR,FRUTICULTURA IRRIGADA,,,2023,2
LinearRegression,ML Clássico,POR_SETOR,2793.92,2793.92,68.61,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,1278.0,2023,2
DecisionTree,ML Clássico,POR_SETOR,486.5,486.5,11.95,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,4558.0,2023,2
RandomForest,ML Moderno,POR_SETOR,84.3,84.3,2.07,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,4156.0,2023,2
LightGBM,ML Moderno,POR_SETOR,1412.0,1412.0,34.68,,,POR_SETOR,FRUTICULTURA IRRIGADA,4072.0,2660.0,2023,2
ARIMA,Estatístico,POR_SETOR,,,,6049.0,,POR_SETOR,PESCA ARTESANAL,,,2023,2
ETS,Estatístico,POR_SETOR,3081.0,3081.0,50.93,6049.0,9129.999999973243,POR_SETOR,PESCA ARTESANAL,,,2023,2
LinearRegression,ML Clássico,POR_SETOR,234.84,234.84,3.88,,,POR_SETOR,PESCA ARTESANAL,6049.0,6284.0,2023,2
DecisionTree,ML Clássico,POR_SETOR,1091.77,1091.77,18.05,,,POR_SETOR,PESCA ARTESANAL,6049.0,4957.0,2023,2
RandomForest,ML Moderno,POR_SETOR,989.93,989.93,16.37,,,POR_SETOR,PESCA ARTESANAL,6049.0,5059.0,2023,2
